iter	Logloss
0	0.6880078099
1	0.6823693235
2	0.6768272757
3	0.6716155452
4	0.665917207
5	0.6601047613
6	0.6550346415
7	0.6492508133
8	0.6438334028
9	0.6380382778
10	0.6330365384
11	0.6279566742
12	0.6232491355
13	0.6186203972
14	0.6140676787
15	0.6096923995
16	0.6050365391
17	0.6004812875
18	0.5958059877
19	0.591372733
20	0.5870586356
21	0.5823804952
22	0.5773587734
23	0.5724874468
24	0.5680007363
25	0.5630125075
26	0.5590896466
27	0.5547077354
28	0.5505050023
29	0.545970965
30	0.5417724238
31	0.5373949731
32	0.5331270201
33	0.529493237
34	0.5253336125
35	0.5220001809
36	0.5178989891
37	0.5136300288
38	0.5095640592
39	0.5063556649
40	0.5024594723
41	0.498244586
42	0.4943754752
43	0.4905211093
44	0.4863635925
45	0.4822945948
46	0.4788258148
47	0.4750528281
48	0.4714076632
49	0.4679239012
50	0.4638606139
51	0.4601547845
52	0.4559898257
53	0.4523563591
54	0.4486567361
55	0.444853708
56	0.4413644808
57	0.438011215
58	0.4347979118
59	0.4315723016
60	0.4281041211
61	0.4249892954
62	0.4217211532
63	0.4182081312
64	0.4154995724
65	0.4125975261
66	0.4099009609
67	0.4064149973
68	0.4034281534
69	0.4003915571
70	0.3974385234
71	0.3941833463
72	0.3913372056
73	0.3884153664
74	0.3855655711
75	0.3826265359
76	0.3794492024
77	0.3766284684
78	0.3736915314
79	0.3710810659
80	0.3682653842
81	0.3654883381
82	0.3628841296
83	0.3601716815
84	0.3575824047
85	0.3551193534
86	0.352509228
87	0.3497396362
88	0.3472893317
89	0.344510076
90	0.3419290983
91	0.3392984946
92	0.3370692052
93	0.3347211949
94	0.3326637855
95	0.3298146396
96	0.3275238618
97	0.3252252553
98	0.3230173759
99	0.3205522878
100	0.3182878816
101	0.315916455
102	0.3136356127
103	0.3115416567
104	0.3094739904
105	0.3072894082
106	0.3050274859
107	0.3028391976
108	0.3004198845
109	0.2982020275
110	0.2961468498
111	0.2940440866
112	0.2918678669
113	0.2899063757
114	0.2882187476
115	0.2863221114
116	0.2843466302
117	0.2827114394
118	0.2810768125
119	0.27920801
120	0.2772099444
121	0.2753913997
122	0.2735540812
123	0.2713679334
124	0.2696648857
